FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Tabasco,Mexico,2021-10-27 04:22:32,17.8409,-92.6189,141320,5419,,,"Tabasco, Mexico",5493.943716233842,3.8345598641381264
,,Tamaulipas,Mexico,2021-10-27 04:22:32,24.2669,-98.8363,100928,6696,,,"Tamaulipas, Mexico",2764.694699668712,6.634432466708941
,,Tlaxcala,Mexico,2021-10-27 04:22:32,19.3139,-98.2404,29118,2938,,,"Tlaxcala, Mexico",2109.9831812934826,10.0899787073288
,,Unknown,Mexico,2021-10-27 04:22:32,,,0,0,,,"Unknown, Mexico",,
,,Veracruz,Mexico,2021-10-27 04:22:32,19.1738,-96.1342,121707,14366,,,"Veracruz, Mexico",1425.163544797328,11.803758206183703
,,Yucatan,Mexico,2021-10-27 04:22:32,20.7099,-89.0943,73082,5461,,,"Yucatan, Mexico",3235.007954502195,7.4724282313018255
,,Zacatecas,Mexico,2021-10-27 04:22:32,22.7709,-102.5832,41409,3339,,,"Zacatecas, Mexico",2484.8988193895198,8.063464464246902
,,Aguascalientes,Mexico,2022-10-27 04:22:01,21.8853,-102.2916,84536,3591,,,"Aguascalientes, Mexico",5892.509244511671,4.247894388189647
,,Baja California,Mexico,2022-10-27 04:22:01,30.8406,-115.2838,165380,12422,,,"Baja California, Mexico",4549.821341517766,7.51118635868908
,,Baja California Sur,Mexico,2022-10-27 04:22:01,26.0444,-111.6661,124905,2766,,,"Baja California Sur, Mexico",15521.77932865089,2.2144830070853847
,,Campeche,Mexico,2022-10-27 04:22:01,19.8301,-90.5349,42924,2280,,,"Campeche, Mexico",4289.753222261865,5.311713726586525
,,Chiapas,Mexico,2022-10-27 04:22:01,16.7569,-93.1292,52301,2434,,,"Chiapas, Mexico",912.6989597699414,4.653830710693868
,,Chihuahua,Mexico,2022-10-27 04:22:01,28.633,-106.0691,165412,10145,,,"Chihuahua, Mexico",4351.244657682639,6.13317050758107
,,Ciudad de Mexico,Mexico,2022-10-27 04:22:01,19.4326,-99.1332,1745758,43604,,,"Ciudad de Mexico, Mexico",19357.20942558444,2.497711595765278
,,Coahuila,Mexico,2022-10-27 04:22:01,27.0587,-101.7068,180541,8962,,,"Coahuila, Mexico",5609.093055624596,4.963969403071879
,,Colima,Mexico,2022-10-27 04:22:01,19.1223,-104.0072,67371,2242,,,"Colima, Mexico",8580.620592419567,3.3278413560730877
,,Durango,Mexico,2022-10-27 04:22:01,24.5593,-104.6588,79341,3672,,,"Durango, Mexico",4245.113419183348,4.62812417287405
,,Guanajuato,Mexico,2022-10-27 04:22:01,21.019,-101.2574,351837,15082,,,"Guanajuato, Mexico",5649.118722579246,4.286644099398301
,,Guerrero,Mexico,2022-10-27 04:22:01,17.4392,-99.5451,115992,6847,,,"Guerrero, Mexico",3171.738516967784,5.90299330988344
,,Hidalgo,Mexico,2022-10-27 04:22:01,20.0911,-98.7624,120398,8549,,,"Hidalgo, Mexico",3900.902471282207,7.100616289307132
,,Jalisco,Mexico,2022-10-27 04:22:01,20.6595,-103.3494,284696,19988,,,"Jalisco, Mexico",3385.3316643068897,7.020822210357715
,,Mexico,Mexico,2022-10-27 04:22:01,19.4969,-99.7233,703337,47914,,,"Mexico, Mexico",4035.721109790742,6.812381546826059
,,Michoacan,Mexico,2022-10-27 04:22:01,19.5665,-101.7068,109992,8973,,,"Michoacan, Mexico",2279.437501670845,8.157866026620118
,,Morelos,Mexico,2022-10-27 04:22:01,18.6813,-99.1013,91513,5339,,,"Morelos, Mexico",4477.025602991696,5.834143782850524
,,Nayarit,Mexico,2022-10-27 04:22:01,21.7514,-104.8455,72114,3244,,,"Nayarit, Mexico",5596.432016551668,4.498433036580969
,,Nuevo Leon,Mexico,2022-10-27 04:22:01,25.5922,-99.9962,401674,15350,,,"Nuevo Leon, Mexico",7159.769082946579,3.8215069932333185
,,Oaxaca,Mexico,2022-10-27 04:22:01,17.0732,-96.7266,149800,6343,,,"Oaxaca, Mexico",3615.2199311080985,4.234312416555407
,,Puebla,Mexico,2022-10-27 04:22:01,19.0414,-98.2063,208386,16660,,,"Puebla, Mexico",3155.2357644867075,7.994778919889052
,,Queretaro,Mexico,2022-10-27 04:22:01,20.5888,-100.3899,177283,6342,,,"Queretaro, Mexico",7776.808325185106,3.577331159784074
,,Quintana Roo,Mexico,2022-10-27 04:22:01,19.1817,-88.4791,111871,4428,,,"Quintana Roo, Mexico",6491.827403773896,3.958130346559877
,,San Luis Potosi,Mexico,2022-10-27 04:22:01,22.1565,-100.9855,240952,7611,,,"San Luis Potosi, Mexico",8406.840972987382,3.158720409044125
,,Sinaloa,Mexico,2022-10-27 04:22:01,25.1721,-107.4795,176639,9915,,,"Sinaloa, Mexico",5595.731456590069,5.613143190348677
,,Sonora,Mexico,2022-10-27 04:22:01,29.2972,-110.3309,195106,10297,,,"Sonora, Mexico",6345.436776057852,5.2776439473927
,,Tabasco,Mexico,2022-10-27 04:22:01,17.8409,-92.6189,213440,6128,,,"Tabasco, Mexico",8297.674404139196,2.871064467766117
,,Tamaulipas,Mexico,2022-10-27 04:22:01,24.2669,-98.8363,177526,8198,,,"Tamaulipas, Mexico",4862.923978017872,4.617915122291946
,,Tlaxcala,Mexico,2022-10-27 04:22:01,19.3139,-98.2404,56492,3123,,,"Tlaxcala, Mexico",4093.590558336129,5.528216384620832
,,Unknown,Mexico,2022-10-27 04:22:01,,,0,0,,,"Unknown, Mexico",,
,,Veracruz,Mexico,2022-10-27 04:22:01,19.1738,-96.1342,224398,17036,,,"Veracruz, Mexico",2627.6537021324234,7.591868020214084
,,Yucatan,Mexico,2022-10-27 04:22:01,20.7099,-89.0943,136963,6944,,,"Yucatan, Mexico",6062.729461050384,5.069982404006922
,,Zacatecas,Mexico,2022-10-27 04:22:01,22.7709,-102.5832,79808,3924,,,"Zacatecas, Mexico",4789.17155637274,4.916800320769847
,,Aguascalientes,Mexico,2020-10-28 04:24:39,21.8853,-102.2916,9299,834,7540,925,"Aguascalientes, Mexico",648.1788050619147,8.968706312506722
,,Baja California,Mexico,2020-10-28 04:24:39,30.8406,-115.2838,22631,3795,17889,947,"Baja California, Mexico",622.608578908505,16.769033626441608
,,Baja California Sur,Mexico,2020-10-28 04:24:39,26.0444,-111.6661,12300,590,10977,733,"Baja California Sur, Mexico",1528.5047495489048,4.796747967479675
,,Campeche,Mexico,2020-10-28 04:24:39,19.8301,-90.5349,6437,859,5510,68,"Campeche, Mexico",643.303081998407,13.344725803945938
,,Chiapas,Mexico,2020-10-28 04:24:39,16.7569,-93.1292,7498,1067,6334,97,"Chiapas, Mexico",130.84676775501464,14.23046145638837
,,Chihuahua,Mexico,2020-10-28 04:24:39,28.633000000000006,-106.0691,16928,1805,12644,2479,"Chihuahua, Mexico",445.299431511932,10.662807183364839
,,Ciudad de Mexico,Mexico,2020-10-28 04:24:39,19.4326,-99.1332,157255,14920,131028,11307,"Ciudad de Mexico, Mexico",1743.6654841165164,9.487774633556961
,,Coahuila,Mexico,2020-10-28 04:24:39,27.0587,-101.7068,32490,2299,27336,2855,"Coahuila, Mexico",1009.4074663220163,7.076023391812866
,,Colima,Mexico,2020-10-28 04:24:39,19.1223,-104.0072,6451,728,5393,330,"Colima, Mexico",821.6233014457055,11.285072081847776
,,Durango,Mexico,2020-10-28 04:24:39,24.5593,-104.6588,13034,762,10260,2012,"Durango, Mexico",697.3797696731293,5.846248273745588
,,Guanajuato,Mexico,2020-10-28 04:24:39,21.019,-101.2574,47609,3382,41328,2899,"Guanajuato, Mexico",764.413331353085,7.103698880463778
